created_date,week,sentiment.compound,text,id
2017-03-28 21:48:40,13,0.481,"A NEW ERA IN AMERICAN ENERGY! 
#MadeInTheUSA🇺🇸
Watch here: https://t.co/EG02Fdlkba https://t.co/XT12jqoIqj",846841493952319489
2017-03-31 21:31:44,13,0.4404,We are going to defend our industry &amp; create a level playing field for the American worker. It is time to put… https://t.co/dzPKJMghj1,847924397180583937
2017-03-31 01:43:35,13,0.4404,Only by enlisting the full potential of women in our society will we be truly able to #MakeAmericaGreatAgain🇺🇸… https://t.co/cxhgYaxiek,847625389908217856
2017-03-30 21:20:44,13,0.4404,"If @RepMarkMeadows, @Jim_Jordan and @Raul_Labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform.",847559239149158401
2017-03-30 21:18:57,13,0.4404,"If @RepMarkMeadows, @Jim_Jordan and Raul_Labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform.",847558790358728705
2017-03-28 01:35:35,13,0.4199,"...money to Bill, the Hillary Russian ""reset,"" praise of Russia by Hillary, or Podesta Russian Company. Trump Russia story is a hoax. #MAGA!",846536212362018816
2017-03-29 23:58:11,13,0.3818,.@FLOTUS Melania and I were honored to stop by the Women's Empowerment  Panel this afternoon at the @WhiteHouse.… https://t.co/phLPw8lgTu,847236476815511552
2017-03-28 22:41:09,13,0.3724,Why doesn't Fake News talk about Podesta ties to Russia as covered by @FoxNews or money from Russia to Clinton - sale of  Uranium?,846854703183020032
2017-04-01 15:35:12,13,0.0,RT @DanScavino: .@POTUS @realDonaldTrump signs executive orders on trade that will set the stage for revival in American manufacturing. #Am…,848197060625145856
2017-03-31 17:45:10,13,0.0,#ConfirmGorsuch #SCOTUS https://t.co/WkqHYMcYa3,847867380562894848
2017-03-30 21:21:50,13,0.0,"Where are @RepMarkMeadows, @Jim_Jordan and @Raul_Labrador?
#RepealANDReplace #Obamacare",847559519085379584
2017-03-28 11:16:44,13,0.0,Watch @foxandfriends now on Podesta and Russia!,846682464215076866
2017-03-28 10:36:02,13,0.0,Big announcement by Ford today. Major investment to be made in three Michigan plants. Car companies coming back to U.S.  JOBS! JOBS! JOBS!,846672219073863681
2017-04-01 17:02:29,13,-0.0772,"..not associated with Russia. Trump team spied on before he was nominated."" If this is true, does not get much bigger. Would be sad for U.S.",848219027659010051
2017-03-30 22:16:50,13,-0.2023,...and job losses. American companies must be prepared to look at other alternatives.,847573358912974849
2017-03-30 13:07:42,13,-0.2714,"The Freedom Caucus will hurt the entire Republican agenda if they don't get on the team, &amp; fast. We must fight them, &amp; Dems, in 2018!",847435163143454723
2017-04-01 16:06:14,13,-0.34,"...use subsidies to buy health plans."" In other words, Ocare is dead. Good things will happen, however, either with Republicans or Dems.",848204870876356608
2017-03-28 01:26:04,13,-0.3724,"Why isn't the House Intelligence Committee looking into the Bill &amp; Hillary deal that allowed big Uranium to go to Russia, Russian speech....",846533818811080704
2017-03-31 11:04:32,13,-0.4199,"Mike Flynn should ask for immunity in that this is a witch hunt (excuse for big election loss), by media &amp; Dems, of historic proportion!",847766558520856578
2017-03-30 22:16:17,13,-0.6115,The meeting next week with China will be a very difficult one in that we can no longer have massive trade deficits...,847573220417044480
2017-03-29 21:39:01,13,-0.6249,Today's EO established a commission on combating drug addiction and the opioid crisis. Watch listening session➡️… https://t.co/ooF2ediqSt,847201455165624320
2017-04-01 15:59:36,13,-0.7717,"The failing @nytimes finally gets it - ""In places where no insurance company offers plans, there will be no way for ObamaCare customers to..",848203201094483972
2017-03-30 14:27:14,13,-0.8316,The failing @nytimes has disgraced the media world. Gotten me wrong for two solid years. Change libel laws? https://t.co/QIqLgvYLLi,847455180912181249
2017-04-01 12:43:32,13,-0.8374,When will Sleepy Eyes Chuck Todd and @NBCNews start talking about the Obama SURVEILLANCE SCANDAL and stop with the Fake Trump/Russia story?,848153860602507264
2017-04-01 13:02:32,13,-0.8516,"It is the same Fake News Media that said there is ""no path to victory for Trump"" that is now pushing the phony Russia story. A total scam!",848158641056362496
